Transaction ID,Date,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method
TXN_1557,08-04-2025,Milk Products,Milk_Cheese_200g,,6,660,Credit Card
TXN_1251,31-05-2025,Furniture,Furn_Chair,2500,2,5000,Credit Card
TXN_1150,22-07-2025,Computers,,800,4,3200,Cash
TXN_1350,21-06-2025,Milk Products,Milk_Butter_500g,250,6,1500,Cash
TXN_1406,09-08-2025,Butchers,Meat_Chicken_1kg,220,6,1320,Debit Card
TXN_1494,28-07-2025,Patisserie,Pat_Cake_Slice,90,2,180,Debit Card
TXN_1547,17-02-2025,Butchers,,190,4,760,Mobile Payment
TXN_1498,07-05-2025,Electric Accessories,Elec_Earphones,350,5,1750,Cash
TXN_1143,24-03-2025,Furniture,Furn_Lamp,700,3,2100,Credit Card
TXN_1092,24-08-2025,Beverages,Bev_Tea_100g,90,6,540,Debit Card
TXN_1540,18-03-2025,Electric Accessories,Elec_Cable_USB,150,1,150,Credit Card
TXN_1574,25-08-2025,Computers,Comp_Webcam,1200,5,6000,Mobile Payment
TXN_1014,28-08-2025,Patisserie,Pat_Donut,30,6,180,Cash
TXN_1543,26-01-2025,Butchers,Meat_Fish_1kg,380,,380,Mobile Payment
TXN_1086,17-07-2025,Patisserie,Pat_Donut,30,1,45,Debit Card
TXN_1053,24-02-2025,Computers,Comp_Keyboard,800,4,3200,Mobile Payment
TXN_1490,16-07-2025,Electric Accessories,Elec_Charger,400,,2000,Cash
TXN_1207,15-05-2025,Electric Accessories,,90,1,90,Mobile Payment
TXN_1554,22-05-2025,Food,Food_Rice_1kg,70,3,210,Cash
TXN_1544,04-06-2025,Beverages,Bev_Tea_100g,90,3,270,Mobile Payment
TXN_1397,29-05-2025,Milk Products,Milk_Cheese_200g,,5,550,Credit Card
TXN_1372,06-02-2025,Milk Products,,110,1,110,Mobile Payment
TXN_1224,01-08-2025,Patisserie,Pat_Cake_Slice,90,1,,Mobile Payment
TXN_1101,24-01-2025,Furniture,Furn_Cushion,350,3,1050,Credit Card
TXN_1049,05-03-2025,Butchers,Meat_Mutton_1kg,,1,650,Credit Card
TXN_1528,28-01-2025,Electric Accessories,Elec_Earphones,350,2,700,Cash
TXN_1166,18-07-2025,Furniture,Furn_Cushion,350,2,700,Mobile Payment
TXN_1247,19-08-2025,Butchers,,75,5,375,Debit Card
TXN_1114,21-01-2025,Butchers,Meat_Chicken_1kg,,5,1100,Credit Card
TXN_1176,16-01-2025,Food,Food_Oats_1kg,120,1,120,Credit Card
TXN_1056,15-01-2025,Patisserie,Pat_Cake_Slice,90,2,180,Cash
TXN_1055,19-04-2025,Electric Accessories,Elec_Powerbank,,3,2700,Mobile Payment
TXN_1400,16-06-2025,Furniture,Furn_Small_Table,3200,3,9600,Credit Card
TXN_1398,19-08-2025,Furniture,Furn_Cushion,350,6,2100,Debit Card
TXN_1323,29-03-2025,Milk Products,Milk_Butter_500g,,2,500,Mobile Payment
TXN_1121,05-05-2025,patisserie,Pat_Donut,30,4,120,Cash
TXN_1201,04-05-2025,Electric Accessories,Elec_Batteries_4pk,90,5,,Debit Card
TXN_1091,14-05-2025,Electric Accessories,Elec_Earphones,350,1,525,Credit Card
TXN_1364,27-06-2025,Milk Products,Milk_Butter_500g,250,4,1500,Mobile Payment
TXN_1252,18-07-2025,Milk Products,Milk_Ghee_500ml,350,3,1050,Credit Card
TXN_1075,03-01-2025,Electric Accessories,,350,5,1750,Cash
TXN_1164,08-02-2025,Beverages,,180,2,360,Debit Card
TXN_1548,24-07-2025,Furniture,Furn_Cushion,350,3,1050,Credit Card
TXN_1181,28-02-2025,Beverages,Bev_Juice_500ml,45,1,45,Cash
TXN_1155,17-02-2025,Computers,Comp_Webcam,1200,,7200,Credit Card
TXN_1268,28-03-2025,milk products,Milk_Ghee_500ml,350,4,1400,Mobile Payment
TXN_1309,20-01-2025,Butchers,Meat_Eggs_Dozen,75,3,225,Cash
TXN_1324,20-01-2025,Food,Food_Cereal_500g,150,2,300,Debit Card
TXN_1484,17-06-2025,Computers,,1200,2,2400,Debit Card
TXN_1163,06-05-2025,Beverages,Bev_Tea_100g,90,4,360,Cash
TXN_1147,13-03-2025,Patisserie,Pat_Muffin,35,3,105,Debit Card
TXN_1042,01-07-2025,Beverages,Bev_Cola_1L,60,,60,Cash
TXN_1148,22-01-2025,Computers,Comp_HDMI_Cable,300,2,600,Credit Card
TXN_1073,27-03-2025,Beverages,Bev_Water_1L,20,1,20,Credit Card
TXN_1408,10-03-2025,Electric Accessories,Elec_Powerbank,900,,900,Mobile Payment
TXN_1186,19-06-2025,Computers,Comp_Keyboard,800,3,2400,Mobile Payment
TXN_1229,29-05-2025,Electric Accessories,Elec_Batteries_4pk,90,1,90,Debit Card
TXN_1076,10-01-2025,Food,Food_Oats_1kg,120,5,600,Debit Card
TXN_1582,01-08-2025,Food,Food_Rice_1kg,70,1,105,Credit Card
TXN_1404,17-04-2025,Milk Products,Milk_Cheese_200g,110,4,440,Mobile Payment
TXN_1394,29-08-2025,Milk Products,Milk_Ghee_500ml,350,3,1050,Debit Card
TXN_1113,15-03-2025,Beverages,Bev_Tea_100g,90,6,,Credit Card
TXN_1240,15-04-2025,Patisserie,Pat_Cookie_Pack,,6,330,Cash
TXN_1391,31-05-2025,Furniture,Furn_Chair,2500,6,15000,Credit Card
TXN_1010,28-05-2025,Furniture,Furn_Cushion,350,3,1050,Credit Card
TXN_1486,13-07-2025,Milk Products,Milk_Ghee_500ml,350,1,350,Cash
TXN_1131,03-03-2025,Furniture,Furn_Cushion,350,2,700,Credit Card
TXN_1157,28-02-2025,Milk Products,Milk_Yogurt_400g,,3,180,Debit Card
TXN_1016,25-08-2025,Butchers,Meat_Bacon_250g,190,3,570,Credit Card
TXN_1339,21-01-2025,Patisserie,Pat_Croissant,40,,160,Debit Card
TXN_1319,21-03-2025,Food,Food_Oats_1kg,,3,360,Mobile Payment
TXN_1174,25-07-2025,Furniture,  Furn_Lamp  ,700,6,4200,Credit Card
TXN_1584,25-01-2025,Butchers,Meat_Fish_1kg,380,4,1520,Mobile Payment
TXN_1124,14-06-2025,Beverages,Bev_Juice_500ml,,1,45,Mobile Payment
TXN_1221,18-03-2025,Butchers,Meat_Fish_1kg,380,5,1900,Mobile Payment
TXN_1532,08-08-2025,Food,,70,6,420,Cash
TXN_1012,08-04-2025,Milk Products,Milk_Ghee_500ml,350,1,350,Debit Card
TXN_1387,06-06-2025,Furniture,,2500,2,5000,Cash
TXN_1278,16-07-2025,Electric Accessories,Elec_Earphones,350,5,1750,Cash
TXN_1354,07-07-2025,Butchers,Meat_Fish_1kg,380,2,760,Cash
TXN_1282,11-07-2025,Beverages,Bev_Juice_500ml,45,1,67.5,Credit Card
TXN_1508,21-08-2025,Butchers,Meat_Mutton_1kg,650,,1950,Cash
TXN_1257,09-07-2025,Beverages,Bev_Coffee_200g,180,2,360,Mobile Payment
