Transaction ID,Date,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method
TXN_1557,2025-04-08,Milk Products,Milk_Cheese_200g,,6,660,Credit Card
TXN_1251,2025-05-31,Furniture,Furn_Chair,2500,2,5000,Credit Card
TXN_1150,2025-07-22,Computers,,800,4,3200,Cash
TXN_1350,2025-06-21,Milk Products,Milk_Butter_500g,250,6,1500,Cash
TXN_1406,2025-08-09,Butchers,Meat_Chicken_1kg,220,6,1320,Debit Card
TXN_1494,2025-07-28,Patisserie,Pat_Cake_Slice,90,2,180,Debit Card
TXN_1547,2025-02-17,Butchers,,190,4,760,Mobile Payment
TXN_1498,2025-05-07,Electric Accessories,Elec_Earphones,350,5,1750,Cash
TXN_1143,2025-03-24,Furniture,Furn_Lamp,700,3,2100,Credit Card
TXN_1092,2025-08-24,Beverages,Bev_Tea_100g,90,6,540,Debit Card
TXN_1540,2025-03-18,Electric Accessories,Elec_Cable_USB,150,1,150,Credit Card
TXN_1574,2025-08-25,Computers,Comp_Webcam,1200,5,6000,Mobile Payment
TXN_1014,2025-08-28,Patisserie,Pat_Donut,30,6,180,Cash
TXN_1543,2025-01-26,Butchers,Meat_Fish_1kg,380,,380,Mobile Payment
TXN_1086,2025-07-17,Patisserie,Pat_Donut,30,1,45.0,Debit Card
TXN_1053,2025-02-24,Computers,Comp_Keyboard,800,4,3200,Mobile Payment
TXN_1490,2025-07-16,Electric Accessories,Elec_Charger,400,,2000,Cash
TXN_1207,2025-05-15,Electric Accessories,,90,1,90,Mobile Payment
TXN_1554,2025-05-22,Food,Food_Rice_1kg,70,3,210,Cash
TXN_1544,2025-06-04,Beverages,Bev_Tea_100g,90,3,270,Mobile Payment
TXN_1397,2025-05-29,Milk Products,Milk_Cheese_200g,,5,550,Credit Card
TXN_1372,2025-02-06,Milk Products,,110,1,110,Mobile Payment
TXN_1224,2025-08-01,Patisserie,Pat_Cake_Slice,90,1,,Mobile Payment
TXN_1101,2025-01-24,Furniture,Furn_Cushion,350,3,1050,Credit Card
TXN_1049,2025-03-05,Butchers,Meat_Mutton_1kg,,1,650,Credit Card
TXN_1528,2025-01-28,Electric Accessories,Elec_Earphones,350,2,700,Cash
TXN_1166,2025-07-18,Furniture,Furn_Cushion,350,2,700,Mobile Payment
TXN_1247,2025-08-19,Butchers,,75,5,375,Debit Card
